,element_id,coordinates,text,type,metadata
0,437c9bd9d4f957dc4dc743c40db83112,,Jumbo One Close Construction ARM,Title,{'filename': 'Flagstar/FlagstarText/FlagstarText5725.txt'}
1,86d05d06d08a9825d81b69fa7899131c,,RESTRICTED USE PROGRAM,NarrativeText,{'filename': 'Flagstar/FlagstarText/FlagstarText5725.txt'}
2,d598f7f38d7cb2dc090536af134e982a,,Originators must complete Flagstar’s Construction Loan training course prior to originating any loans under this,NarrativeText,{'filename': 'Flagstar/FlagstarText/FlagstarText5725.txt'}
3,5f29bb88923008293ff6df8d965e8e3d,,program. Originators will not be able to register construction transactions without having completed the course,NarrativeText,{'filename': 'Flagstar/FlagstarText/FlagstarText5725.txt'}
4,db1697a73276c08a7fcfda3f6fe11449,,PRIMARY RESIDENCE CONSTRUCTION/CONSTRUCTION PERM,Title,{'filename': 'Flagstar/FlagstarText/FlagstarText5725.txt'}
5,971f1cc16a4a59d6a8f8a0e2a3608412,,Maximum Maximum Minimum Maximum,Title,{'filename': 'Flagstar/FlagstarText/FlagstarText5725.txt'}
6,f1af53886a325cff08073cb0d48702f3,,Property Type,Title,{'filename': 'Flagstar/FlagstarText/FlagstarText5725.txt'}
7,4f071b9e06daa2ca2c91ce9712430cb7,,LTV CLTV Credit Score Loan Amount,Title,{'filename': 'Flagstar/FlagstarText/FlagstarText5725.txt'}
8,119ef70cbd3809bcef36b8555b105d21,,"85% 760 $1,000,000",UncategorizedText,{'filename': 'Flagstar/FlagstarText/FlagstarText5725.txt'}
9,d178c20a4c548f22db789006f0dbbf74,,1 Unit,Title,{'filename': 'Flagstar/FlagstarText/FlagstarText5725.txt'}
10,c89abd280450b0e2e25919378167f3d1,,"80% 700 $1,500,000",UncategorizedText,{'filename': 'Flagstar/FlagstarText/FlagstarText5725.txt'}
11,458e2249d8ce1951142b165770bcf7a6,,Subordinate,Title,{'filename': 'Flagstar/FlagstarText/FlagstarText5725.txt'}
